        SAT              SUN              MON              TUE              WED              THU              FRI         
09:00   .                .                .                .                .                .                .               
09:30   .                .                .                .                .                .                .               
10:00   .                mdiffgeo         mdiffgeo         mdiffgeo         .                .                .               
10:30   .                m                m                m                .                .                .               
11:00   .                m                m                .                .                .                .               
11:30   bbehavior_study  m                m                r                .                .                .               
12:00   b                bquant_comp      .                yroberta         .                .                .               
12:30   .                b                .                y                .                .                .               
13:00   mdiffgeo         b                mdiffgeo         .                bbehavior_study  .                .               
13:30   m                .                m                ggrad_house_qa   b                .                .               
14:00   m                mdiffgeo         m                g                .                .                ymath_awards    
14:30   m                m                m                .                .                .                y               
15:00   .                m                .                ydiffgeo_final   .                .                .          
15:30   .                m                .                y                .                .                .               
16:00   mdiffgeo         .                mdiffgeo         .                .                .                .               
16:30   m                .                m                gfrisbee         .                .                ymath_grad      
17:00   m                mdiffgeo         m                gstarbucks       geric_nap        .                y               
17:30   m                m                m                .                g                .                y               
18:00   .                m                .                .                .                .         s      .               
18:30   .                m                .                .                geric_dinner     ysam_drinks      .               
19:00   .                .                mdiffgeo         .                g                y                .               
19:30   .                .                m                .                .                .                .               
20:00   .                .                m                .                .                yeric_walk       .               
20:30   .                .                m                .                gben_dinner      y                .               
21:00   .                .                .                .                g                .                .               
21:30   .                .                yswim            .                .                ypranav_apart    .               
22:00   .                gcurtis          y                .                .                y                .               
22:30   .                g                .                .                gshub_walk_talk  .                .               
23:00   .                g                .                .                g                ymax_party       .               
23:30   .                g                .                .                g                y                .               
